ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ : Ûéú ̄ÖμÖÖ ‡®ÖÛêú †®Öã ̄Öæ ̧üÛú  ̄ÖÏ¿®Ö ÛúÖ ˆ¢Ö ̧ü ¤üß×•Ö‹...	श्री उपसभाषति : देखिए।...(व्यवधान)...कुछ भी अभिलिखित नहीं होगा। यह नहीं
ÁÖß Ûú ́Ö»Ö ®ÖÖ£Ö :  ́ÖÆüÖê¤üμÖ, •ÖÆüÖÓ “ÖÖμÖ Ûúß 3⁄4Öé× ̈ü õÖ ́ÖŸÖÖ ÛúÖ ÃÖÓ2ÖÓ¬Ö Æîü, 3⁄4ÖÖÃŸÖ3⁄4Ö  ́Öë	जाएगा।....(व्यवधान)...ऐसा नहीं है, यह क्वैश्चन आवर है।...(व्यवधान)...प्लीज, यह क्वैश्चन
Æü ́ÖÖ ̧üß ×ÆüÃÃÖê¤üÖ ̧üß, •ÖÆüÖÓ ŸÖÛú 3⁄4Öî×¿3⁄4ÖÛú ×®ÖμÖÖÔŸÖÖë Ûúß 2ÖÖŸÖ Æîü, Ûú ́Ö ÆüÖêŸÖß  ̧üÆüß Æîü... Ûú3Öß Æü ́Ö	आवर है ।
»ÖÖêÝÖ Æü ́ÖÖ ̧êü “ÖÖμÖ ÛúÖ 50  ̄ÖÏ×ŸÖ¿ÖŸÖ ×®ÖμÖÖÔŸÖ Ûú ̧üŸÖê £Öê... †2Ö Ûêú3⁄4Ö»Ö »ÖÝÖ3ÖÝÖ 12.84  ̄ÖÏ×ŸÖ¿ÖŸÖ	श्री बसंत चव्हाण : महोदय, साननीय मंत्री ने उत्तर में उल्लेख किया है कि
Ûú ̧üŸÖê Æïü... “ÖÖμÖ Ûúß 3⁄4Öé× ̈ü Ûêú3⁄4Ö»Ö ˆŸ ̄ÖÖ¤ü®Ö ÛúÖ  ́ÖÖ ́Ö»ÖÖ ®ÖÆüà Æîü, μÖÆü 3ÖÖ ̧üŸÖ  ́Öë ˆ ̄Ö3ÖÖêÝÖ †Öî ̧ü	सरकार ने तटीय गश्त और निगरानी को सुदृढ करने के लिए तटीय सुरक्षा योजना को
×®ÖμÖÖÔŸÖ Ûúß 2Ö›Íüß ×ÆüÃÃÖê¤üÖ ̧üß ÛúÖ  ́ÖÖ ́Ö»ÖÖ Æîü... μÖÆü ˆÃÖÛêú «üÖ ̧üÖ ÃÖÓ“ÖÖ×»ÖŸÖ ×Ûú‹ •ÖÖ®Öê Ûúß	मंजूरी दी है। महोदय, आपके माध्यम से, मैं माननीय मंत्री जी से यह जानना चाहूंगा कि
†Ö3⁄4Ö¿μÖÛúŸÖÖ Æîü... ×2Ö®ÖÖ ‘Ö ̧êü»Öæ ˆ ̄Ö3ÖÖêÝÖ †Öî ̧ü ×®ÖμÖÖÔŸÖ õÖ ́ÖŸÖÖ Ûêú ˆ““ÖŸÖ ̧ü ˆŸ ̄ÖÖ¤ü®Ö ÃÖê †Öî ̧ü	क्या महाराष्ट्र के तटीय क्षेत्र और कोंकण तटीय क्षेत्र भी निगरानी और सुरक्षा में शामिल
†×¬ÖÛú ÃÖ ́ÖÃμÖÖ‹Ó ˆŸ ̄Ö®®Ö ÆüÖê •ÖÖ‹ÓÝÖß... “ÖÖμÖ 2ÖÖê›Ôü Ûúß ×3⁄4Ö×3⁄4Ö¬Ö μÖÖê•Ö®ÖÖ†Öë Ûúß ‘ÖÖêÂÖÞÖÖ Ûúß ÝÖ‡Ô	हैं क्योंकि बॉस्बे से ही दक्षिण को हथियारों, गोला-बारूद तथा विस्फोटकों की आपूर्ति
Æîü...  ́ÖãôÖê ‡®ÖÛúÖê ÃÖÓ2ÖÓ×¬ÖŸÖ ÃÖ¤üÃμÖ ÛúÖê 3Öê•Ö®Öê  ́Öë  ̄ÖÏÃÖ®®ÖŸÖÖ ÆüÖêÝÖß...	होती है। साथ ही, अनेकानेक विदेशी विशेषज्ञों के बहुतेरी नयी योजनाओं सहित पदापर्ण
ÁÖß  ̄Öß.•Öß. ®ÖÖ ̧üÖμÖÞÖ®Ö : “ÖÖμÖ ˆaÖêÝÖ, ×3⁄4Ö¿ÖêÂÖÛú ̧ü ¤ü×õÖÞÖß 3ÖÖ ̧üŸÖ  ́Öë ÝÖŸÖ  ̄ÖÖÓ“Ö 3⁄4ÖÂÖÖí ÃÖê	करने के परिणामस्वरूप महाराष्ट्र भआई.टी. सिटी के रूप में तेजी से उभर रहा है।
2Öã ̧üß ×Ã£Ö×ŸÖ  ́Öë Æîü... TMüÖTMüÖ •ÖîÃÖß “ÖÖμÖ ˆaÖêÝÖ Ûúß  ̄ÖÏ ́ÖãÜÖ Ûú ́ ̄Ö×®ÖμÖÖë  ́Öë ÛúÖ ́ÖÝÖÖ ̧üÖë ÛúÖê † ̄Ö®Öß	इसलिए, मेरा प्रश्न यह है कि क्या केन्द्र सरकार ने इसमें मुम्बई और कोंकण के तटीय
Ûú ́ ̄Ö×®ÖμÖÖÓ 2Öê“Ö ¤üà †Öî ̧ü 3ÖÖÝÖ ÝÖ‡Õ...  ́ÖÆüÖê¤üμÖ,  ́ÖãôÖê ÛúÆüÖ ÝÖμÖÖ ×Ûú Ûúß×®ÖμÖÖ  ́Öë 3ÖμÖÓÛú ̧ü †ÛúÖ»Ö	क्षेत्रों को भी शामिल किया है ।
̄Ö›Íü®Öê Ûêú 2ÖÖ¤ü 3ÖÖ ̧üŸÖßμÖ “ÖÖμÖ Ûêú ×»Ö‹ 2ÖÖ•ÖÖ ̧ü  ́Öë ÃÖã¬ÖÖ ̧ü Æãü†Ö Æîü...  ́ÖÆüÖê¤üμÖ,  ́Öï •ÖÖ®Ö®ÖÖ	श्री शिवराज वी. पाटिल : महोदय, उत्तर है `हां। गुजरात, महाराष्ट्र, गोवा,
“ÖÖÆüŸÖÖ ÆæÓü ×Ûú ¤ü×õÖÞÖß 3ÖÖ ̧üŸÖ ÃÖê “ÖÖμÖ ×®ÖμÖÖÔŸÖ ÛúÖê  ̄ÖÏÖêŸÃÖÖ×ÆüŸÖ Ûú ̧ü®Öê Ûêú ×»Ö‹ ÃÖ ̧üÛúÖ ̧ü ŒμÖÖ-	कर्णाटक, केरल, तमिलनाडु, आन्ध्र प्रदेश, उडीसा, पश्चिमी बंगाल और पांडिचेरी को
ŒμÖÖ ×3⁄4Ö×3Ö®®Ö Ûú¤ü ́Ö ˆšüÖ®Öê  ̄Ö ̧ü ×3⁄4Ö“ÖÖ ̧ü Ûú ̧ü  ̧üÆüß Æîü?	तटीय सुरक्षा को विकसित करने के लिए केन्द्र सरकार से सहायता मिलेगी। गुजरात वह
ÁÖß Ûú ́Ö»Ö ®ÖÖ£Ö :  ́ÖÆüÖê¤üμÖ, μÖÆü Ûêú3⁄4Ö»Ö ¤ü×õÖÞÖß 3ÖÖ ̧üŸÖ ÃÖê Æüß  ̄ÖÏÖêŸÃÖÖ×ÆüŸÖ Ûú ̧ü®Öê ÛúÖ	राज्य है जिसको सबसे अधिक धनराशि मिलती रहेगी, और फिर, कर्नाटक और तमिलनाडु
̄ÖÏ¿®Ö ®ÖÆüà Æîü...  ̄ÖÏ¿®Ö ‡ÃÖÛúÖê ÃÖ ́Öæ“Öê ¤êü¿Ö  ́Öë  ̄ÖÏÖêŸÃÖÖ×ÆüŸÖ Ûú ̧ü®Öê ÛúÖ Æîü †Öî ̧ü ˆÃÖ ́Öë ¤ü×õÖÞÖß	वे राज्य होंगे जिनको प्रचुर धनराशि प्राप्त होगी। हमारे पास वे सभी ब्यौरे हैं कि कितने
